symbol,year,revenue,net_income,eps,roe,de,payout
8300,2021,,,,,,
8300,2022,555710000.0,-27662000.0,-0.74,-6.9148,,
8300,2023,996136000.0,84581000.0,2.11,17.3223,0.0,
8300,2024,1335905000.0,103050000.0,2.58,16.9036,0.0077,
8300,2025,1456911000.0,37090000.0,0.93,5.6369,0.0045,
8310,2021,,,,,,
8310,2022,224220000.0,-48183000.0,-1.7,-19.1806,,
8310,2023,185707000.0,25439000.0,0.59,8.9987,,
8310,2024,226059000.0,12027000.0,0.28,3.8451,,
8310,2025,284503000.0,-13279000.0,-0.31,-4.2716,,
8311,2021,,,,,,
8311,2022,231906000.0,-6355000.0,-0.4263,-3.7369,0.0046,
8311,2023,266494000.0,20222000.0,0.7982,10.6009,,
8311,2024,246950000.0,-26762000.0,-1.0522,-16.3269,0.0144,
8311,2025,179459000.0,-6699000.0,-0.263,-4.2791,0.0081,
