symbol,year,close,ret,vol,maxdd,divs,div_yield,momentum,eps,price_date,return_basis,dividend_unit,source
4004,2015,36.1159,-0.319293,0.318897,-0.468584,0.5244,0.9885,-0.367915,,,,,
4004,2016,49.619,0.33345,0.387824,-0.313899,0.9833,2.6426,0.550692,,,,,
4004,2017,55.387,0.110386,0.219005,-0.156896,2.95,5.914,0.087551,,,,,
4004,2018,32.4077,-0.414886,0.30235,-0.54103,2.6222,4.7343,-0.455833,,,,,
4004,2019,34.7069,0.07477,0.221615,-0.228007,0.4167,1.2903,-0.112284,,,,,
4004,2020,44.0746,0.257815,0.306693,-0.166345,1.0833,3.0917,0.28501,,,,,
4004,2021,70.3564,0.62493,0.249277,-0.150793,1.75,4.0417,0.400394,,,,,
4004,2022,140.596,0.995681,0.323896,-0.173029,2.0,2.8389,0.755266,3.05,,,,
4004,2023,164.809,0.185028,0.283311,-0.259508,1.5,1.0785,0.287003,3.7,,,,
4004,2024,145.682,-0.108793,0.21476,-0.20211,2.0,1.2235,-0.111405,4.83,,,,
4004,2025,123.8054,-0.155795,0.301628,-0.276668,2.0,1.3638,-0.197261,5.32,,,,
4004,2026,85.0,-0.311794,0.383177,-0.387164,1.5,1.2145,-0.405758,,,,,
4005,2015,45.8729,0.026518,0.349869,-0.237738,1.55,3.4685,-0.095686,,,,,
4005,2016,55.0794,0.179446,0.331155,-0.269204,0.75,1.606,0.392076,,,,,
4005,2017,36.6079,-0.335361,0.295575,-0.496578,0.0,0.0,-0.190741,,,,,
4005,2018,42.8287,0.182103,0.369487,-0.344444,1.0,2.7601,0.101852,,,,,
4005,2019,42.2257,-0.010143,0.276342,-0.241667,1.0,2.3442,0.102041,,,,,
4005,2020,48.9384,0.158972,0.328251,-0.341023,2.0,4.7364,0.149511,,,,,
4005,2021,58.3011,0.240082,0.220816,-0.177112,1.0,2.127,0.207139,,,,,
4005,2022,69.7904,0.174553,0.381545,-0.379982,1.0,1.683,0.089193,3.79,,,,
4005,2023,166.0538,1.369701,0.418624,-0.175287,1.0,1.4271,1.245617,5.37,,,,
4005,2024,160.8569,-0.071748,0.347816,-0.318943,2.0,1.1541,-0.107073,6.58,,,,
4005,2025,139.1414,-0.129788,0.317738,-0.267033,2.0,1.2508,-0.072816,7.13,,,,
4005,2026,123.9,-0.112028,0.407176,-0.373259,3.0,2.1501,-0.294846,,,,,
4006,2015,42.4308,-0.252626,0.2967,-0.341145,1.1667,2.055,-0.252626,,,,,
4006,2016,28.2784,-0.326759,0.44064,-0.580016,0.0,0.0,-0.042404,,,,,
4006,2017,22.3062,-0.216105,0.293466,-0.306823,2.0,7.0285,-0.201174,,,,,
4006,2018,15.9717,-0.273432,0.204345,-0.381211,0.75,3.4118,-0.239148,,,,,
4006,2019,15.6967,-0.007453,0.192182,-0.243928,0.0,0.0,-0.0454,,,,,
4006,2020,31.5308,1.018868,0.464693,-0.284327,0.0,0.0,0.720257,,,,,
4006,2021,28.2894,-0.057283,0.287084,-0.327161,0.0,0.0,-0.044776,,,,,
4006,2022,17.8773,-0.361404,0.309203,-0.423642,0.0,0.0,-0.385135,0.51,,,,
4006,2023,22.7,0.242459,0.296094,-0.344781,0.5,2.7367,0.090082,0.48,,,,
4006,2024,22.62,-0.012227,0.271602,-0.32381,0.0,0.0,-0.109449,0.57,,,,
4006,2025,14.0,-0.384886,0.268311,-0.420721,0.0,0.0,-0.399142,0.55,,,,
4006,2026,12.22,-0.137615,0.204528,-0.174122,0.0,0.0,-0.296893,,,,,
4007,2015,29.8396,-0.421711,0.486545,-0.568713,0.0,0.0,-0.484105,,,,,
4007,2016,25.8366,-0.131846,0.443692,-0.452459,0.5625,1.8901,-0.057201,,,,,
4007,2017,23.4582,-0.085476,0.276781,-0.250549,0.5625,2.1929,0.063519,,,,,
4007,2018,15.8707,-0.319783,0.265237,-0.480905,0.0,0.0,-0.319783,,,,,
4007,2019,13.3035,-0.161753,0.190805,-0.255039,0.0,0.0,-0.161753,,,,,
4007,2020,18.2734,0.368371,0.367052,-0.35444,0.0,0.0,0.233988,,,,,
4007,2021,26.2502,0.472186,0.232209,-0.149184,0.825,4.6268,0.482701,,,,,
4007,2022,35.9486,0.361014,0.357279,-0.203609,1.25,4.7325,0.294001,1.61,,,,
4007,2023,54.2838,0.476893,0.326541,-0.213613,1.05,2.8567,0.34412,1.9,,,,
4007,2024,36.1443,-0.343007,0.247837,-0.432022,1.4,2.5448,-0.372207,2.12,,,,
4007,2025,27.2573,-0.249785,0.239914,-0.360289,1.25,3.4404,-0.339605,1.51,,,,
4007,2026,25.12,-0.088832,0.235667,-0.157244,0.67,2.4303,-0.250129,,,,,
4008,2015,57.714,0.047684,0.123597,-0.008779,0.0,0.0,,,,,,
4008,2016,51.1773,-0.114861,0.402477,-0.46164,2.0,3.4591,0.061294,,,,,
4008,2017,66.8788,0.310649,0.246841,-0.127551,1.1667,2.2864,0.188322,,,,,
4008,2018,62.1887,-0.058097,0.404523,-0.503754,1.6667,2.5243,-0.0997,,,,,
4008,2019,50.4207,-0.179314,0.238765,-0.388717,2.0,3.2554,-0.191674,,,,,
4008,2020,56.9271,0.069511,0.415622,-0.39823,0.5,0.9394,0.099498,,,,,
4008,2021,48.3389,-0.129933,0.271858,-0.370494,0.75,1.3499,-0.147934,,,,,
4008,2022,26.943,-0.447716,0.28598,-0.505587,0.0,0.0,-0.479924,-3.96,,,,
4008,2023,38.3344,0.414991,0.316561,-0.335526,0.0,0.0,0.294314,-1.92,,,,
4008,2024,31.351,-0.197719,0.350744,-0.33296,0.0,0.0,-0.201765,-0.39,,,,
4008,2025,25.7147,-0.18748,0.288735,-0.279267,0.0,0.0,-0.229674,1.27,,,,
4008,2026,20.96,-0.187407,0.276034,-0.230792,0.25,0.9692,-0.277818,,,,,
4009,2016,67.4364,0.046263,0.39387,-0.382954,0.0,0.0,,,,,,
4009,2017,50.9252,-0.242264,0.274335,-0.390181,2.0,2.9759,-0.207083,,,,,
4009,2018,31.663,-0.383949,0.313982,-0.505609,2.0,3.8913,-0.433815,,,,,
4009,2019,28.9797,-0.076205,0.220442,-0.289747,0.0,0.0,-0.058637,,,,,
4009,2020,34.1999,0.180135,0.348409,-0.285373,0.0,0.0,0.078462,,,,,
4009,2021,30.8824,-0.079942,0.196482,-0.225214,0.0,0.0,-0.089209,,,,,
4009,2022,24.8328,-0.195893,0.332043,-0.352713,0.0,0.0,-0.234587,0.82,,,,
4009,2023,86.1585,2.429126,0.463379,-0.333756,0.0,0.0,2.228519,0.19,,,,
4009,2024,67.0339,-0.240044,0.415529,-0.531202,0.0,0.0,-0.285863,3.06,,,,
4009,2025,32.0471,-0.520531,0.340675,-0.613228,0.5,0.7481,-0.589455,3.28,,,,
4009,2026,32.96,0.016005,0.348957,-0.250595,0.5,1.5413,-0.417608,,,,,
4011,2016,17.1477,-0.45603,0.411569,-0.599246,0.0,0.0,,,,,,
4011,2017,14.8674,-0.150635,0.275784,-0.381177,0.4274,2.4415,-0.225939,,,,,
4011,2018,12.9282,-0.172699,0.198258,-0.186143,0.0,0.0,-0.085714,,,,,
