code,name_ar,name_en,sector,sector_ar
4130,شركة الباحة للإستثمار والتنمية,Saudi Darb Investment Co.,Industrials,الإستثمار والتمويل
4280,شركة المملكة القابضة,Kingdom Holding Co.,Industrials,الإستثمار والتمويل
4080,شركة سناد القابضة,Sinad Holding Co.,Industrials,الإستثمار والتمويل
4081,شركة النايفات للتمويل,Nayifat Finance Co.,Financial Services,الإستثمار والتمويل
8010,الشركة التعاونية للتأمين,The Company for Cooperative Ins,Financial Services,التأمين
8260,الشركة الخليجية العامة للتأمين التعاوني,Gulf General Cooperative Insura,Financial Services,التأمين
8200,الشركة السعودية لإعادة التأمين التعاوني,Saudi Reinsurance Co.,Financial Services,التأمين
8280,الشركة العالمية للتأمين التعاوني,LIVA Insurance Co.,Financial Services,التأمين
8100,الشركة العربية السعودية للتأمين التعاوني,Saudi Arabian Cooperative Insur,Financial Services,التأمين
8190,الشركة المتحدة للتأمين التعاوني,United Cooperative Assurance Co,Financial Services,التأمين
8300,الشركة الوطنية للتأمين,Wataniya Insurance Co.,Financial Services,التأمين
8150,المجموعة المتحدة للتأمين التعاوني,Allied Cooperative Insurance Gr,Financial Services,التأمين
8250,شركة أكسا للتأمين التعاوني,Gulf Insurance Group,Financial Services,التأمين
8040,شركة أليانز السعودي الفرنسي للتأمين التعاوني,Mutakamela Insurance Co.,Financial Services,التأمين
8310,شركة أمانة للتأمين التعاوني,Amana Cooperative Insurance Co.,Financial Services,التأمين
8120,شركة اتحاد الخليج للتأمين التعاوني,Gulf Union Alahlia Cooperative,Financial Services,التأمين
8170,شركة الاتحاد للتأمين التعاوني,Al-Etihad Cooperative Insurance,Financial Services,التأمين
8160,شركة التأمين العربية التعاونية,Arabia Insurance Cooperative Co,Financial Services,التأمين
8012,شركة الجزيرة تكافل تعاوني,Aljazira Takaful Taawuni Co.,Financial Services,التأمين
8070,شركة الدرع العربي للتأمين التعاوني,Arabian Shield Cooperative Insu,Financial Services,التأمين
8230,شركة الراجحي للتأمين التعاوني,Al-Rajhi Company for Cooperativ,Financial Services,التأمين
8180,شركة الصقر للتأمين التعاوني,Al Sagr Cooperative Insurance C,Financial Services,التأمين
8030,شركة المتوسط والخليج للتأمين وإعادة التأمين التعاوني,The Mediterranean and Gulf Insu,Financial Services,التأمين
8210,شركة بوبا العربية للتأمين التعاوني,Bupa Arabia for Cooperative Ins,Financial Services,التأمين
8240,شركة تشب العربية للتأمين التعاوني,CHUBB Arabia Cooperative Insura,Financial Services,التأمين
8050,شركة سلامة للتأمين التعاوني,Salama Cooperative Insurance Co,Financial Services,التأمين
8311,شركة عناية السعودية للتأمين التعاوني,Saudi Enaya Cooperative Insuran,Financial Services,التأمين
8020,شركة ملاذ للتأمين التعاوني,Malath Cooperative Insurance Co,Financial Services,التأمين
8060,شركة ولاء للتأمين التعاوني,Walaa Cooperative Insurance Co.,Financial Services,التأمين
7200,شركة المعمر لأنظمة المعلومات,Al Moammar Information Systems,Technology,التطبيقات وخدمات التقنية
7201,شركة بحر العرب لأنظمة المعلومات,Arab Sea Information System Co.,Technology,التطبيقات وخدمات التقنية
7020,شركة اتحاد إتصالات,Etihad Etisalat Co.,Communication Services,الإتصالات
7040,شركة اتحاد عذيب للإتصالات,Etihad GO Telecom Co.,Communication Services,الإتصالات
7010,شركة الإتصالات السعودية,Saudi Telecom Co.,Communication Services,الإتصالات
7030,شركة الاتصالات المتنقلة السعودية,Mobile Telecommunication Compan,Communication Services,الإتصالات
5110,الشركة السعودية للكهرباء,Saudi Energy Co.,Utilities,المرافق العامة
2080,شركة الغاز والتصنيع الأهلية,National Gas and Industrializat,Energy,المرافق العامة
2081,شركة الخريف لتقنية المياه والطاقة,Alkhorayef Water and Power Tech,Utilities,المرافق العامة
2082,شركة أعمال المياه والطاقة الدولية,ACWA POWER Co.,Utilities,المرافق العامة
4338,صندوق الأهلي ريت 1,AlAhli REIT Fund 1,Real Estate,الصناديق العقارية المتداولة
4331,صندوق بنك الجزيرة موطن ريت,ALJAZIRA REIT,Real Estate,الصناديق العقارية المتداولة
4348,صندوق الخبير ريت,Alkhabeer REIT Fund,Real Estate,الصناديق العقارية المتداولة
4340,صندوق الراجحي ريت,Al Rajhi REIT Fund,Real Estate,الصناديق العقارية المتداولة
4330,صندوق الرياض ريت,Riyad REIT Fund,Real Estate,الصناديق العقارية المتداولة
4337,صندوق المشاعر ريت,AL AZIZIAH REIT Fund,Real Estate,الصناديق العقارية المتداولة
4334,صندوق المعذر ريت,AL Maather REIT Fund,Real Estate,الصناديق العقارية المتداولة
4347,صندوق بنيان ريت,Bonyan REIT Fund,Real Estate,الصناديق العقارية المتداولة
4333,صندوق تعليم ريت,TALEEM REIT FUND,Real Estate,الصناديق العقارية المتداولة
4332,صندوق جدوى ريت الحرمين,JADWA REIT AL HARAMAIN FUND,Real Estate,الصناديق العقارية المتداولة
4342,صندوق جدوى ريت السعودية,Jadwa REIT Saudi Fund,Real Estate,الصناديق العقارية المتداولة
4339,صندوق دراية ريت,Derayah REIT Fund,Real Estate,الصناديق العقارية المتداولة
4344,صندوق سدكو كابيتال ريت,SEDCO Capital REIT Fund,Real Estate,الصناديق العقارية المتداولة
4345,صندوق سويكورب وابل ريت,Alinma Retail REIT Fund,Real Estate,الصناديق العقارية المتداولة
4335,صندوق مشاركة ريت,Musharaka REIT Fund,Real Estate,الصناديق العقارية المتداولة
4336,صندوق ملكية عقارات الخليج ريت,Mulkia Gulf Real Estate REIT,Real Estate,الصناديق العقارية المتداولة
4346,صندوق ميفك ريت,MEFIC REIT Fund,Real Estate,الصناديق العقارية المتداولة
4220,إعمار المدينة الاقتصادية,Emaar The Economic City,Real Estate,إدارة وتطوير العقارات
4020,الشركة العقارية السعودية,Saudi Real Estate Co.,Real Estate,إدارة وتطوير العقارات
4320,شركة الأندلس العقارية,Alandalus Property Co.,Real Estate,إدارة وتطوير العقارات
4230,شركة البحر الأحمر العالمية,Red Sea International Co.,Real Estate,إدارة وتطوير العقارات
4150,شركة الرياض للتعمير,Arriyadh Development Co.,Real Estate,إدارة وتطوير العقارات
4321,شركة المراكز العربية,Arabian Centres Co.,Real Estate,إدارة وتطوير العقارات
4250,شركة جبل عمر للتطوير,Jabal Omar Development Co.,Consumer Cyclical,إدارة وتطوير العقارات
4300,شركة دار الأركان للتطوير العقاري,Dar Alarkan Real Estate Develop,Real Estate,إدارة وتطوير العقارات
4090,شركة طيبة للإستثمار,Taiba Investments Co.,Consumer Cyclical,إدارة وتطوير العقارات
4100,شركة مكة للإنشاء والتعمير,Makkah Construction and Develop,Consumer Cyclical,إدارة وتطوير العقارات
4310,مدينة المعرفة الاقتصادية,Knowledge Economic City,Real Estate,إدارة وتطوير العقارات
